Ziffer,Text
00.0135," Überweisungen an Konsiliarärzte in Abwesenheit des Patienten bei Kindern unter 6 Jahren und Personen über 75 Jahren, pro 1 Min. "
00.0136," Ausstellen von Rezepten oder Verordnungen ausserhalb von Konsultation, Besuch und telefonischer Konsultation in Abwesenheit des Patienten bei Kindern unter 6 Jahren und Personen über 75 Jahren, pro 1 Min. "
00.0137," Diagnostische Leistung am Institut für Pathologie/Histologie/Zytologie in Abwesenheit des Patienten bei Kindern unter 6 Jahren und Personen über 75 Jahren, pro 1 Min. "
00.0138," Tumorboard in Abwesenheit des Patienten bei Kindern unter 6 Jahren und Personen über 75 Jahren, pro 1 Min. "
00.0140,  -   
00.0141," Aktenstudium in Abwesenheit des Patienten bei Personen über 6 Jahren und unter 75 Jahren, pro 1 Min. "
00.0142," Erkundigungen bei Dritten in Abwesenheit des Patienten bei Personen über 6 Jahren und unter 75 Jahren, pro 1 Min. "
00.0143," Auskünfte an Angehörige oder andere Bezugspersonen des Patienten in Abwesenheit des Patienten bei Personen über 6 Jahren und unter 75 Jahren, pro 1 Min. "
00.0144," Besprechungen mit Therapeuten und Betreuern des Patienten in Abwesenheit des Patienten bei Personen über 6 Jahren und unter 75 Jahren, pro 1 Min. "
00.0145," Überweisungen an Konsiliarärzte in Abwesenheit des Patienten bei Personen über 6 Jahren und unter 75 Jahren, pro 1 Min. "
00.0146," Ausstellen von Rezepten oder Verordnungen ausserhalb von Konsultation, Besuch und telefonischer Konsultation in Abwesenheit des Patienten bei Personen über 6 Jahren und unter 75 Jahren, pro 1 Min. "
00.0147," Diagnostische Leistung am Institut für Pathologie/Histologie/Zytologie in Abwesenheit des Patienten bei Personen über 6 Jahren und unter 75 Jahren, pro 1 Min. "
00.0148," Tumorboard in Abwesenheit des Patienten bei Personen über 6 Jahren und unter 75 Jahren, pro 1 Min. "
00.0150, Medikamentenverabreichung durch nichtärztliches Personal 
00.0155, Nichtärztliche Medikamentenabgabe zur Substitutionsbehandlung bei Opiatabhängigkeit 
00.0160, Überwachte Urinabgabe bei Alkohol-/Drogenpatienten durch nichtärztliches Personal 
00.0161," Aktenstudium in Abwesenheit des Patienten bei Personen über 6 Jahren und unter 75 Jahren mit einem erhöhten Behandlungsbedarf, pro 1 Min. "
00.0162," Erkundigungen bei Dritten in Abwesenheit des Patienten bei Personen über 6 Jahren und unter 75 Jahren mit einem erhöhten Behandlungsbedarf, pro 1 Min. "
00.0163," Auskünfte an Angehörige oder andere Bezugspersonen des Patienten in Abwesenheit des Patienten bei Personen über 6 Jahren und unter 75 Jahren mit einem erhöhten Behandlungsbedarf, pro 1 Min. "
00.0164," Besprechungen mit Therapeuten und Betreuern des Patienten in Abwesenheit des Patienten bei Personen über 6 Jahren und unter 75 Jahren mit einem erhöhten Behandlungsbedarf, pro 1 Min. "
00.0165," Überweisungen an Konsiliarärzte in Abwesenheit des Patienten bei Personen über 6 Jahren und unter 75 Jahren mit einem erhöhten Behandlungsbedarf, pro 1 Min. "
00.0166," Ausstellen von Rezepten oder Verordnungen ausserhalb von Konsultation, Besuch und telefonischer Konsultation in Abwesenheit des Patienten bei Personen über 6 Jahren und unter 75 Jahren mit einem erhöhten Behandlungsbedarf, pro 1 Min. "
00.0167," Diagnostische Leistung am Institut für Pathologie/Histologie/Zytologie in Abwesenheit des Patienten bei Personen über 6 Jahren und unter 75 Jahren mit einem erhöhten Behandlungsbedarf, pro 1 Min. "
00.0168," Tumorboard in Abwesenheit des Patienten bei Personen über 6 Jahren und unter 75 Jahren mit einem erhöhten Behandlungsbedarf, pro 1 Min. "
00.0210,  -   
00.0220,  -   
00.0230,  -   
00.0240,  -   
00.0250,  -   
00.0260,  -   
00.0270,  -   
00.0310,  -   
00.0320,  -   
00.0410,  -   
00.0420,  -   
00.0430,  -   
00.0440,  -   
00.0415," Kleine Untersuchung durch den Facharzt für Grundversorgung bei Personen über 6 Jahren und unter 75 Jahren, pro 5 Min. "
00.0416," Kleine Untersuchung durch den Facharzt für Grundversorgung bei Kindern unter 6 Jahren und Personen über 75 Jahren, pro 5 Min.  "
00.0417," Kleine Untersuchung durch den Facharzt für Grundversorgung bei Personen über 6 Jahren und unter 75 Jahren mit einem erhöhten Behandlungsbedarf, pro 5 Min.  "
00.0425," Umfassende Untersuchung durch den Facharzt für Grundversorgung, pro 5 Min. "
00.0435," Kleine rheumatologische Untersuchung durch den Facharzt für Rheumatologie, Physikalische Medizin und Rehabilitation bei Personen über 6 Jahren und unter 75 Jahren, pro 5 Min. "
00.0436," Kleine rheumatologische Untersuchung durch den Facharzt für Rheumatologie, Physikalische Medizin und Rehabilitation bei Kindern unter 6 Jahren und Personen über 75 Jahren, pro 5 Min. "
00.0437," Kleine rheumatologische Untersuchung durch den Facharzt für Rheumatologie, Physikalische Medizin und Rehabilitation bei Personen über 6 Jahren und unter 75 Jahren mit einem erhöhten Behandlungsbedarf, pro 5 Min. "
00.0445," Umfassende rheumatologische Untersuchung durch den Facharzt für Rheumatologie, Physikalische Medizin und Rehabilitation, pro 5 Min. "
00.0450," Spezielle Wachstumsbeurteilung durch den Facharzt für Endokrinologie, Kinder- und Jugendmedizin "
00.0460," Nachkontrolle des Lebendspenders, als alleinige Leistung "
00.0490, Kognitive Abklärung und Beratung 
00.0510," Spezifische Beratung durch den Facharzt für Grundversorgung bei Personen über 6 Jahren und unter 75 Jahren, pro 5 Min. "
00.0515," Spezifische Beratung durch den Facharzt für Grundversorgung bei Kindern unter 6 Jahren und Personen über 75 Jahren, pro 5 Min. "
00.0516," Spezifische Beratung durch den Facharzt für Grundversorgung bei Personen über 6 Jahren und unter 75 Jahren mit einem erhöhten Behandlungsbedarf, pro 5 Min. "
00.0520," Psychotherapeutische/psychosoziale Beratung durch den Facharzt für Grundversorgung, pro 5 Min. "
00.0525," Psychosomatische Einzeltherapie, pro 5 Min. "
00.0530," Genetische u/o pränatale Beratung durch den Facharzt bei Personen über 6 Jahren und unter 75 Jahren, pro 5 Min. "
00.0535," Genetische u/o pränatale Beratung durch den Facharzt bei Kindern unter 6 Jahren und Personen über 75 Jahren, pro 5 Min "
00.0536," Genetische u/o pränatale Beratung durch den Facharzt bei Personen über 6 Jahren und unter 75 Jahren mit einem erhöhten Behandlungsbedarf, pro 5 Min "
00.0610," Instruktion von Selbstmessungen, Selbstbehandlungen durch den Facharzt bei Personen über 6 Jahren und unter 75 Jahren, pro 5 Min. "
00.0615," Instruktion von Selbstmessungen, Selbstbehandlungen durch den Facharzt bei Kindern unter 6 Jahren und Personen über 75 Jahren, pro 5 Min. "
00.0616," Instruktion von Selbstmessungen, Selbstbehandlungen durch den Facharzt bei Personen über 6 Jahren und unter 75 Jahren mit einem erhöhten Behandlungsbedarf, pro 5 Min. "
00.0710," Punktion, venös, zwecks Blutentnahme, jede Lokalisation (Bestandteil von 'Allgemeine Grundleistungen') "
00.0715," Punktion, venös, zwecks Blutentnahme, jede Lokalisation durch nichtärztliches Personal "
00.0716," Blutentnahme kapillär, jede Lokalisation durch nichtärztliches Personal "
00.0720," Punktion, arteriell, durch den Facharzt (Bestandteil von 'Allgemeine Grundleistungen') "
00.0730," Punktion in Reservoirsystem (intravenös, intraarteriell, Liquor) durch den Facharzt "
00.0740, Punktion u/o Injektion in Reservoirsystem (Liquor) durch den Facharzt beim Kind/Jugendlichen bis 16 Jahre 
00.0750, Injektion/Infusion durch nichtärztliches Personal 
00.0760," Injektion, intrakutan/intramukös, durch den Facharzt (Bestandteil von 'Allgemeine Grundleistungen') "
00.0770," + Injektion, intrakutan/intramukös, durch den Facharzt, beim Kind bis 7 Jahre (Bestandteil von 'Allgemeine Grundleistungen') "
00.0780," Injektion, subkutan (Bestandteil von 'Allgemeine Grundleistungen') "
00.0790," Injektion, intramuskulär (Bestandteil von 'Allgemeine Grundleistungen') "
00.0800," Injektion, intravenös (Bestandteil von 'Allgemeine Grundleistungen') "
00.0810," + Injektion, intravenös, beim Kind bis 7 Jahre (Bestandteil von 'Allgemeine Grundleistungen') "
00.0820," Injektion, intraarteriell, durch den Facharzt (Bestandteil von 'Allgemeine Grundleistungen') "
00.0830," Injektion, intrathekal "
00.0840," Injektion in Reservoirsystem (intravenös, intraarteriell, Liquor) durch den Facharzt "
00.0850," Gefässzugang, periphervenös, jeder Zugang, durch den Facharzt "
00.0855," Gefässzugang, periphervenös, jeder Zugang, durch nichtärztliches Personal "
00.0860," Gefässzugang, zentralvenös, jeder Zugang, durch den Facharzt "
00.0870," Gefässzugang, periphervenös beim Neugeborenen "
00.0880," Gefässzugang, Nabelgefäss "
00.0890," Gefässzugang, Venaesectio durch den Facharzt beim Kind/Jugendlichen älter als 7 Jahre und Erwachsenen "
00.0900," Gefässzugang, Venaesectio durch den Facharzt beim Kind bis 7 Jahre "
00.0910," Gefässzugang, Venaesectio durch den Facharzt bei Frühgeborenen und Neugeborenen "
00.0920," Gefässzugang, peripherarteriell, durch den Facharzt "
00.0930," Wechsel einer Infusion, venös, durch den Facharzt (Bestandteil von 'Allgemeine Grundleistungen') "
00.0940," Wechsel einer Infusion, arteriell, durch den Facharzt (Bestandteil von 'Allgemeine Grundleistungen') "
00.0950, Anlegen einer Infusion ins subkutane Fettgewebe durch den Facharzt 
00.0960, Anlegen einer intramedullären Infusion durch den Facharzt 
00.0970," Aderlass durch den Facharzt, venös oder arteriell "
00.0980," Einlage eines Port-A-Cath/arteriovenösen Reservoirsystems, venös/arteriell, jede Lokalisation der Katheterspitze "
00.0990," + Einlage eines Port-A-Cath/arteriovenösen Reservoirsystems, venös/arteriell, jede Lokalisation der Katheterspitze, beim Kind bis 7 Jahre "
00.0995," Entfernung eines Port-A-Cath/arteriovenösen Reservoirsystems, venös/arteriell, jede Lokalisation der Katheterspitze "
00.0996," + Entfernung eines Port-A-Cath/arteriovenösen Reservoirsystems, venös/arteriell, jede Lokalisation der Katheterspitze, beim Kind bis 7 Jahre "
00.1000," Knochenmarkpunktion, jede Lokalisation "
00.1010,  + Knochenbiopsie/Knochenentnahme zur histologischen Untersuchung 
00.1020, Feinnadelpunktion zur Entnahme von Gewebe und anderem Material 
00.1110," Oberflächenanästhesie mittels Spray/Tropfen: Auge, durch den Facharzt (Bestandteil von 'Allgemeine Grundleistungen') "
00.1120," Oberflächenanästhesie mittels Spray/Tropfen: Nase, durch den Facharzt "
00.1130," Oberflächenanästhesie mittels Spray/Tropfen: Mund u/o Rachen, durch den Facharzt "
00.1140," Oberflächenanästhesie mittels Spray/Tropfen: Larynx u/o Hypopharynx, durch den Facharzt "
00.1150," Oberflächenanästhesie mittels Spray/Tropfen: Trommelfell, inkl. Gehörgang, durch den Facharzt "
00.1160," Oberflächenanästhesie mittels Einlagen, einseitig oder beidseitig, durch den Facharzt "
00.1170," Oberflächenanästhesie, Kryoanästhesie, durch den Facharzt "
00.1180," Lokalanästhesie mittels Injektion in Haut/Subkutis/Schleimhaut: Gesicht/Hals/Nacken/Hand, bis 20 cm² "
00.1190," Lokalanästhesie mittels Injektion in Haut/Subkutis/Schleimhaut: übrige Lokalisationen, bis 20 cm² "
00.1200," Lokalanästhesie mittels Injektion in Haut/Subkutis/Schleimhaut: Gesicht/Hals/Nacken/Hand, 20 bis 40 {cm2} "
00.1210," Lokalanästhesie mittels Injektion in Haut/Subkutis/Schleimhaut: übrigen Lokalisationen, 20 bis 40 {cm2} "
00.1220," Lokalanästhesie mittels Injektion in Haut/Subkutis/Schleimhaut: Gesicht/Hals/Nacken/Hand, mehr als 40 {cm2} "
00.1230," Lokalanästhesie mittels Injektion in Haut/Subkutis/Schleimhaut: übrigen Lokalisationen, mehr als 40 {cm2} "
00.1240," Leitungsanästhesie Finger/Zehen, erster Finger/Zehe "
00.1250," + Leitungsanästhesie Finger/Zehen, jede(r) weitere Finger/Zehe "
00.1260, Plexusanästhesie/Regionalanästhesie/Endovenösanästhesie durch Nichtanästhesisten (Operateur) 
00.1310, Durchführung und Überwachung einer Desensibilisierung/Hyposensibilisierung bei Allergie mittels Injektion durch den Facharzt 
00.1320, Beurteilung des Knochenmarkausstriches durch den Facharzt für Hämatologie/Onkologie 
00.1325," Insulintherapie mit Infusionspumpe, pro 5 Min. "
00.1330, Beurteilung des Urinsedimentes durch den Facharzt für Nephrologie 
00.1345," Wundtoilette/Verbandwechsel durch nichtärztliches Personal, pro 5 Min. "
00.1350, Verbandwechsel durch den Facharzt nach operativem Wundverschluss (Bestandteil von 'Allgemeine Grundleistungen') 
00.1360, Wundtoilette durch den Facharzt (Bestandteil von 'Allgemeine Grundleistungen') 
00.1370," Nachbetreuung/Betreuung/Überwachung in der Arztpraxis bei Personen über 6 Jahren und unter 75 Jahren, pro 15 Min. "
00.1375," Nachbetreuung/Betreuung/Überwachung in der Arztpraxis bei Kindern unter 6 Jahren und Personen über 75 Jahren, pro 15 Min. "
00.1376," Nachbetreuung/Betreuung/Überwachung in der Arztpraxis bei Personen über 6 Jahren und unter 75 Jahren mit einem erhöhten Behandlungsbedarf, pro 15 Min. "
00.1380," Reanimation durch den Facharzt ausserhalb des Schockraums, pro 5 Min. "
00.1390, Feststellen des Todes durch den Facharzt  
00.1400," Legalinspektion durch den Facharzt, pro 5 Min. "
00.1410, Intraoperatives Warten auf Ergebnis der Schnellschnittuntersuchung 
00.1420," (+) Zusätzliche ausserordentliche ärztliche Assistenz, pro Min. "
00.1430," Nichtärztliche Behandlung und Betreuung ambulanter, onkologischer/hämatologischer/diabetologischer Patienten, erste 15 Min. "
00.1440," + nichtärztliche Behandlung und Betreuung ambulanter, onkologischer/hämatologischer/diabetologischer Patienten, jede weiteren 15 Min. "
00.1510," Manualmedizin durch den Facharzt, Diagnostik, pro 5 Min. "
00.1520," Manualmedizin durch den Facharzt, Therapie, pro 5 Min. "
00.1530," Behandlung durch den Facharzt für Onkologie, pro 5 Min. "
00.1540," Behandlung durch den Facharzt für Hämatologie, pro 5 Min. "
00.1550," Behandlung durch den Facharzt für Endokrinologie/Diabetologie, pro 5 Min. "
00.1560," Behandlung durch den Facharzt für Nephrologie, pro 5 Min. "
00.1570," Behandlung durch den Facharzt für Allergologie und klinische Immunologie, pro 5 Min. "
00.1580," Behandlung durch den Facharzt für Rheumatologie, pro 5 Min. "
00.1590," Behandlung durch den Facharzt für Physikalische Medizin und Rehabilitation, pro 5 Min. "
00.1600," Behandlung durch den Facharzt für Tropenmedizin, pro 5 Min. "
00.1610," Behandlung durch den Facharzt für Infektiologie, pro 5 Min. "
00.1620," Behandlung durch den Facharzt für Angiologie, pro 5 Min. "
00.1710," Akupunktur, Konsultation durch den Facharzt, erste 5 Min. "
00.1720," + Akupunktur, Konsultation durch den Facharzt, jede weiteren 5 Min. "
00.1730," + Akupunktur, Konsultation durch den Facharzt, letzte 5 Min. "
00.1735," + Überwachungszeit Akupunktur, pro 15 Min. "
00.1740," Neuraltherapie, Konsultation durch den Facharzt, erste 5 Min. "
00.1750," + Neuraltherapie, Konsultation durch den Facharzt, jede weiteren 5 Min. "
00.1760," + Neuraltherapie, Konsultation durch den Facharzt, letzte 5 Min. "
00.1770," Homöopathie, Konsultation durch den Facharzt, erste 5 Min. "
00.1780," + Homöopathie, Konsultation durch den Facharzt, jede weiteren 5 Min. "
00.1790," + Homöopathie, Konsultation durch den Facharzt, letzte 5 Min. "
00.1800," + Zuschlag für Repertorisieren, pro 5 Min. "
00.1810," Traditionelle Chinesische Medizin ({TCM}), Konsultation durch den Facharzt, erste 5 Min. "
00.1820," + Traditionelle Chinesische Medizin ({TCM}), Konsultation durch den Facharzt, jede weiteren 5 Min. "
00.1830," + Traditionelle Chinesische Medizin ({TCM}), Konsultation durch den Facharzt, letzte 5 Min. "
00.1840," Anthroposophische Medizin, Konsultation durch den Facharzt, erste 5 Min. "
00.1850," + Anthroposophische Medizin, Konsultation durch den Facharzt, jede weiteren 5 Min. "
00.1860," + Anthroposophische Medizin, Konsultation durch den Facharzt, letzte 5 Min. "
00.1870," Phytotherapie durch Facharzt, Konsultation durch den Facharzt, erste 5 Min. "
00.1871," + Phytotherapie durch Facharzt, Konsultation durch den Facharzt, jede weiteren 5 Min. "
00.1872," + Phytotherapie durch Facharzt, Konsultation, durch den Facharzt, letzte 5 Min.  "
00.1880," Telefonische, komplementärmedizinische Konsultation durch den Facharzt, erste 5 Min. "
00.1890," + Telefonische, komplementärmedizinische Konsultation durch den Facharzt bei Personen über 6 Jahren und unter 75 Jahren, jede weiteren 5 Min. "
00.1895," + Telefonische, komplementärmedizinische Konsultation durch den Facharzt bei Kindern unter 6 Jahren und Personen über 75 Jahren, jede weiteren 5 Min. "
00.1896," + Telefonische, komplementärmedizinische Konsultation durch den Facharzt bei Personen über 6 Jahren und unter 75 Jahren mit einem erhöhten Behandlungsbedarf, pro 5 Min. "
00.1900," + Telefonische, komplementärmedizinische Konsultation durch den Facharzt, letzte 5 Min. "
00.1910," Funktions-Test, Arginin "
00.1920," Funktions-Test, Corticotropin Releasing Factor ({CRF}) "
00.1930," Funktions-Test, Dexamethason "
00.1940," Funktions-Test, Glucagon intravenös "
00.1950," Funktions-Test, Gonadotropin Releasing Factor ({GRF}) "
00.1960," Funktions-Test, Luteinizing Hormon-Releasing-Hormon ({LHRH}) "
00.1970," Funktions-Test, Metopiron "
00.1980," Funktions-Test, Kochsalz ({NaCl}) "
00.1990," Funktions-Test, Pregnyl® "
00.2000," Funktions-Test, Synacthen®-Test "
00.2010," Funktions-Test, kombiniert mit Hypophysenvorder-Lappen ({HVL}) "
00.2020," Funktions-Test, Thyrotropin Releasing Hormone ({TRH}) intravenös "
00.2030," Funktions-Test, Thyrotropin Releasing Hormone ({TRH}) nasal "
00.2040," Funktions-Test, Human Growth Hormone ({HGH}) Suppression "
00.2050," Funktions-Test, Hypoglykämie "
00.2060," Funktions-Test, Fasten-Test "
00.2070," Funktions-Test, Durstversuch "
00.2080," Funktions-Test, Glukosetoleranz-Test ({GTT}) "
00.2110," Konsiliarische Beratung (Konsilium) durch den Facharzt, pro 5 Min. "
00.2120," Erweiterte konsiliarische Beratung (Konsilium) durch den Facharzt, pro 5 Min. "
00.2205,  -   
00.2206," Formalisierter Arztbericht, pro 5 Min. "
00.2215, Dokumentationsbogen für Erstkonsultation nach kraniozervikalem Beschleunigungstrauma ({HWS}-Fragebogen) 
00.2230,  -   
00.2240,  -   
00.2255, Verlangter kleiner Arztbericht an den Versicherer (Bestandteil von Allgemeine Grundleistungen) 
00.2260," Kopien an den Versicherer, pro Auftrag "
00.2265," Kopien von grossem Umfang und/oder Kopien von Bildträgern an den Versicherer, pro Auftrag "
00.2285," Nicht formalisierter Bericht, 11 bis 35 Zeilen Text "
00.2295," + Nicht formalisierter Bericht, jede weiteren 35 Zeilen Text "
00.2310, Gutachten der Kategorie A 
00.2315,  -   
00.2320," + Untersuchung bei Gutachten, Klasse 1 "
00.2330," + Untersuchung bei Gutachten, Klasse 2 "
00.2340," + Untersuchung bei Gutachten, Klasse 3 "
00.2350," + Untersuchung bei Gutachten, Klasse 4 "
00.2360," + Untersuchung bei Gutachten, Klasse 5 "
00.2370," + Untersuchung bei Gutachten, Klasse 6 "
00.2380," + Untersuchung bei Gutachten, Klasse 7 "
00.2390, Gutachten der Kategorie B 
00.2400, Gutachten der Kategorie C 
00.2410, Gutachten der Kategorie D 
00.2420, Gutachten der Kategorie E 
00.2505," Dringlichkeits-Inkonvenienzpauschale F bei dringlichen Konsultationen/Besuchen ausserhalb der regulären Sprechstundenzeiten, sowie Mo-Fr 19-22, Sa 7-19, sowie So 7-19 "
00.2510," Notfall-Inkonvenienzpauschale A, Mo-Fr 7-19, Sa 7-12 "
00.2520," Notfall-Inkonvenienzpauschale B, Mo-So 19-22, Sa 12-19, So 7-19 "
00.2530," (+) %-Zuschlag für Notfall B, Mo-So 19-22, Sa 12-19, So 7-19 "
00.2540," Notfall-Inkonvenienzpauschale C, Mo-So 22-7 "
00.2550," (+) %-Zuschlag für Notfall C, Mo-So 22-7 "
00.2560," Notfall-Inkonvenienzpauschale D bei telefonischer Konsultation, Mo-So 19-22, Sa 12-19, So 7-19 "
00.2570," (+) %-Zuschlag für Notfall D, Mo-So 19-22, Sa 12-19, So 7-19 "
00.2580," Notfall-Inkonvenienzpauschale E bei telefonischer Konsultation, Mo-So 22-7 "
00.2590," (+) %-Zuschlag für Notfall E, Mo-So 22-7 "
00.2610, Eigenblutentnahme mit Vollblutkonservierung 
00.2620, Eigenblutentnahme mit anschliessender Auftrennung des Blutes in Erythrozytenkonzentrat und frischgefrorenes Plasma ({FFP}) 
00.2630," Plasmapherese zur Autotransfusion, Entnahmemenge 500/600 ml "
00.2640," Plasmapherese zur Autotransfusion, Entnahmemenge mehr als 800 ml "
00.2650, Intraoperative maschinelle Autotransfusion 
00.2660, Postoperative maschinelle Autotransfusion 
01.0010," Nicht konfektionierte, nicht härtende Verbände, Kategorie I (Bestandteil von 'Allgemeine Grundleistungen') "
01.0020," Nicht konfektionierte, nicht härtende Verbände, Kategorie II (Bestandteil von 'Allgemeine Grundleistungen') "
01.0030," Konfektionierte, nicht härtende Verbände/konfektionierte Schienen, Kategorie I (Bestandteil von 'Allgemeine Grundleistungen') "
01.0040," Konfektionierte, nicht härtende Verbände/konfektionierte Schienen, Kategorie II (Bestandteil von 'Allgemeine Grundleistungen') "
01.0110," Taping, Kategorie I "
01.0120," Taping, Kategorie II "
01.0205, Thermoplastische härtende Verbände (Schienen) 
01.0210," Härtende Verbände (Zirkulärverbände/Schienen), Kategorie I "
01.0220, + Zuschlag für Gehgips bei härtenden Verbänden 
01.0230, + Zuschlag für Fensterung/Deckelung/Schalung bei härtenden Verbänden 
01.0240, + Zuschlag für Keilung zwecks Stellungskorrektur bei härtenden Verbänden 
01.0250, + Zuschlag bei härtenden Verbänden beim Kind bis 7 Jahre 
01.0260," Härtende Verbände (Zirkulärverbände/Schienen), Kategorie II "
01.0265," Entfernung härtender Verbände der Kategorie II durch nichtärztliches Personal, erste 5 Min. "
01.0270," Härtende Verbände (Zirkulärverbände/Schienen), Kategorie III "
01.0275," Entfernung härtender Verbände der Kategorie III durch nichtärztliches Personal, erste 5 Min. "
01.0280, Nachträgliche Umwandlung eines Liegegipses in einen Gehgips bei härtenden Verbänden 
01.0290, Nachträgliche Fensterung/Deckelung/Schalung bei härtenden Verbänden 
01.0295," + Entfernung härtender Verbände der Kategorie II und III durch nichtärztliches Personal, jede weitere 5 Min. "
01.0300, Nachträgliche Keilung zwecks Stellungskorrektur bei härtenden Verbänden 
01.0310," Spezialverbände: Venen, Lymphgefässe, Gesicht, Mamma "
01.0320," Spezialverbände, funktioneller Fingerverband "
01.0330," Spezialverbände, Nasengips "
01.0340," Spezialverbände, Hartung (laterale Clavicula) "
01.0350," Spezialverbände, Klumpfuss, jede Methode "
02.0010," Psychiatrische Diagnostik und Therapie, Einzeltherapie, erste Sitzung, pro 5 Min. "
02.0015," + Wegentschädigung für den Facharzt für Psychiatrie und Psychotherapie, pro 5 Min. "
02.0020," Psychiatrische Diagnostik und Therapie, Einzeltherapie, jede weitere Sitzung, pro 5 Min. "
02.0030," Psychiatrische Diagnostik und Therapie, Paartherapie, pro 5 Min. "
02.0040," Psychiatrische Diagnostik und Therapie, Familientherapie, pro 5 Min. "
02.0050," Psychiatrische Diagnostik und Therapie, Gruppentherapie, pro 5 Min. "
02.0060," Telefonische Konsultation durch den Facharzt für Psychiatrie bei Personen über 6 Jahren und unter 75 Jahren, pro 5 Min. "
02.0065," Telefonische Konsultation durch den Facharzt für Psychiatrie bei Kindern unter 6 Jahren und Personen über 75 Jahren, pro 5 Min. "
02.0066," Telefonische Konsultation durch den Facharzt für Psychiatrie bei Personen über 6 Jahren und unter 75 Jahren mit einem erhöhten Behandlungsbedarf, pro 5 Min. "
02.0070,  -   
02.0071," Aktenstudium in Abwesenheit des Patienten durch den Facharzt für Psychiatrie, pro 1 Min. "
02.0072," Erkundigungen bei Dritten in Abwesenheit des Patienten durch den Facharzt für Psychiatrie, pro 1 Min. "
02.0073," Auskünfte an Angehörige oder andere Bezugspersonen des Patienten in Abwesenheit des Patienten durch den Facharzt für Psychiatrie, pro 1 Min. "
02.0074," Besprechungen mit Therapeuten und Betreuern des Patienten in Abwesenheit des Patienten durch den Facharzt für Psychiatrie, pro 1 Min. "
02.0075," Überweisungen an Konsiliarärzte in Abwesenheit des Patienten durch den Facharzt für Psychiatrie, pro 1 Min. "
02.0076," Ausstellen von Rezepten oder Verordnungen ausserhalb von Konsultation, Besuch und telefonischer Konsultation in Abwesenheit des Patienten durch den Facharzt für Psychiatrie, pro 1 Min. "
02.0080," Psychiatrische Krisenintervention, pro 5 Min. "
02.0090," Psychologische und psychiatrische Testabklärung durch den Facharzt, pro 5 Min., als alleinige psychiatrische Leistung "
02.0110," Nichtärztliche Diagnostik und Therapie in der Psychiatrie, Einzelsetting, pro 5 Min. "
