Bezeichnung,Count,Firma,Datum erste Meldung,neuer Status,Datum der letzten Mutation,Datum Lieferfaehigkeit,mögliche Alternativen,GTIN
CLORAZEPATE Zentiva Kaps 10 mg 20 Stk,1,Helvepharm AG,26.08.2024,1 aktuell keine Lieferungen,26.08.2024,,Alternativen?,7680622370038
CO-AMOXICILLIN Sandoz Disp Tabl 625 mg 10 Stk,1,Sandoz Pharmaceuticals AG,23.08.2024,1 aktuell keine Lieferungen,23.08.2024,Sep 24,Alternativen?,7680573400013
DUOKOPT Gtt Opht Fl 5 ml,4,Théa PHARMA S.A.,24.08.2024,1 aktuell keine Lieferungen,24.08.2024,13.10.2024,Alternativen?,7680660010019
DUTASTERID Tamsulosin Sandoz eco 0.5/0.4mg 9 Stk,1,Sandoz Pharmaceuticals AG,23.08.2024,1 aktuell keine Lieferungen,23.08.2024,Jan 25,Alternativen?,7680678350015
EFAVIRENZ Emtric Tenof Viatris Filmtabl Ds 30 Stk,1,Viatris Pharma GmbH,23.08.2024,1 aktuell keine Lieferungen,27.08.2024,KW 04/2025,Alternativen?,7680670930031
ENDWARTS Pen C Appl 3 ml,1,MEDA Pharma GmbH,23.08.2024,1 aktuell keine Lieferungen,27.08.2024,KW 36,Alternativen?,7601001000452
EPLERENON Mepha Filmtabl 25 mg 100 Stk,1,Mepha Pharma AG,22.08.2024,1 aktuell keine Lieferungen,26.08.2024,30.09 - 04.10.2024,Alternativen?,7680661070029
EZETIMIB Atorvast Sandoz Filmtabl 10/40mg 30 Stk,1,Sandoz Pharmaceuticals AG,23.08.2024,1 aktuell keine Lieferungen,23.08.2024,Jan 25,Alternativen?,7680682840052
FLUOXETIN Axapharm Filmtabl 20 mg 30 Stk,1,axapharm ag,23.08.2024,3 Lieferungen kontingentiert/eingeschränkt,23.08.2024,01.10.2024,Alternativen?,7680671520019
GLIMERYL Mepha Tabl 3 mg 120 Stk,1,Mepha Pharma AG,17.05.2024,1 aktuell keine Lieferungen,26.08.2024,in Abklärung/en clarif.,Alternativen?,7680576110063
INHIXA Inj Lös 100 mg/ml 10 Fertspr 1 ml,1,Viatris Pharma GmbH,23.08.2024,1 aktuell keine Lieferungen,27.08.2024,KW 37,Alternativen?,7680674540144
IRBESARTAN Spirig HC Filmtabl 150 mg 28 Stk,4,Spirig HealthCare AG,24.08.2024,1 aktuell keine Lieferungen,24.08.2024,offen,Alternativen?,7680624100053
KAMILLOSAN liq 250 ml,1,MEDA Pharma GmbH,23.08.2024,1 aktuell keine Lieferungen,27.08.2024,KW 41,Alternativen?,7680125370771
KAMILLOSAN Salbe 100 g,1,MEDA Pharma GmbH,23.08.2024,1 aktuell keine Lieferungen,27.08.2024,KW 44,Alternativen?,7680525620315
KLACID Trockensub 500 mg i.v. Amp,1,Viatris Pharma GmbH,23.08.2024,1 aktuell keine Lieferungen,27.08.2024,TBC,Alternativen?,7680517590282
KLACIPED Gran 125 mg/5ml f Susp Fl 100 ml,1,Viatris Pharma GmbH,23.08.2024,0,27.08.2024,KW 08/2025,Alternativen?,7680516080012
LEVOFLOXACIN Sandoz Filmtabl 500 mg 7 Stk,1,Sandoz Pharmaceuticals AG,23.08.2024,1 aktuell keine Lieferungen,23.08.2024,Sep 24,Alternativen?,7680590850105
LIDOCAIN Streuli 1% 100 mg/10ml 10 Amp 10 ml,1,Streuli Pharma AG,27.08.2024,1 aktuell keine Lieferungen,27.08.2024,KW 36,Alternativen?,7680300151348
LIDOCAIN Streuli 2% 100 mg/5ml 10 Amp 5 ml,1,Streuli Pharma AG,27.08.2024,1 aktuell keine Lieferungen,27.08.2024,in Abklärung,Alternativen?,7680300152581
LODOTRA Ret Tabl 1 mg 30 Stk,4,Mundipharma Medical Company,24.08.2024,1 aktuell keine Lieferungen,24.08.2024,offen,Alternativen?,7680604940013
LOPERAMID Mepha Lactab 2 mg 60 Stk,1,Mepha Pharma AG,21.08.2024,1 aktuell keine Lieferungen,26.08.2024,26.08. - 30.08.2024,Alternativen?,7680529650202
METFORMIN Spirig HC Filmtabl 500 mg 50 Stk,4,Spirig HealthCare AG,24.08.2024,1 aktuell keine Lieferungen,24.08.2024,08.09.2024,Alternativen?,7680685100016
METHADON Streuli Tropfen 10 mg/ml Fl 100 ml,1,Streuli Pharma AG,27.08.2024,1 aktuell keine Lieferungen,27.08.2024,KW 38,Alternativen?,7680565520026
METHOTREXAT Mepha rheuma/derm 20 mg/0.5ml,1,Mepha Pharma AG,20.08.2024,1 aktuell keine Lieferungen,26.08.2024,26.08. - 30.08.2024,Alternativen?,7680655100077
METHYLPHENIDAT Mepha LA Depocaps 40 mg Ds 30 Stk,1,Mepha Pharma AG,20.08.2024,1 aktuell keine Lieferungen,26.08.2024,02.12. - 06.12.2024,Alternativen?,7680669930059
MORPHINI HCL Streuli Tropfen 20 mg/ml Fl 50 ml,1,Streuli Pharma AG,27.08.2024,1 aktuell keine Lieferungen,27.08.2024,KW 37,Alternativen?,7680565540109
MOXIFLOXACIN Sandoz 400 mg 10 Stk,1,Sandoz Pharmaceuticals AG,23.08.2024,1 aktuell keine Lieferungen,23.08.2024,Dez 24,Alternativen?,7680631830035
NEBIVOLOL Streuli Tabl 5 mg 100 Stk,1,Streuli Pharma AG,27.08.2024,1 aktuell keine Lieferungen,27.08.2024,unbestimmt,Alternativen?,7680590750023
NEBIVOLOL Streuli Tabl 5 mg 30 Stk,1,Streuli Pharma AG,27.08.2024,1 aktuell keine Lieferungen,27.08.2024,unbestimmt,Alternativen?,7680590750016
NICORANDIL Rivopharm Tabl 10 mg 60 Stk,4,Rivopharm SA,24.10.2024,1 aktuell keine Lieferungen,24.08.2024,offen,Alternativen?,7680604310069
OLMESARTAN AMLO HCT Mepha Lactab 40/10/25 98 Stk,1,Mepha Pharma AG,22.08.2024,1 aktuell keine Lieferungen,26.08.2024,04.11. - 08.11.2024,Alternativen?,7680676020101
OLMESARTAN HCT Viatris Filmtabl 20/12.5mg 28 Stk,1,Viatris Pharma GmbH,23.08.2024,1 aktuell keine Lieferungen,27.08.2024,KW 47,Alternativen?,7680668030095
OLMESARTAN HCT Viatris Filmtabl 20/12.5mg 98 Stk,1,Viatris Pharma GmbH,23.08.2024,1 aktuell keine Lieferungen,27.08.2024,KW 46,Alternativen?,7680668030101
OLMETEC Filmtabl 10 mg 28 Stk,4,Daiichi Sankyo (Schweiz) AG,24.08.2024,1 aktuell keine Lieferungen,24.08.2024,offen,Alternativen?,7680559070025
ORGALUTRAN Inj Lös Fertspr 0.5 ml,4,Organon GmbH,24.08.2024,1 aktuell keine Lieferungen,24.08.2024,offen,Alternativen?,7680553640019
OXALIPLATIN Teva liquid 50 mg/10ml Durchstf 10 ml,1,Teva Pharma AG,21.08.2024,1 aktuell keine Lieferungen,26.08.2024,14.10. - 18.10.2024,Alternativen?,7680616880017
OXYCODON NALOXON Spirig HC Ret Tabl 40/20mg 60 Stk,4,Spirig HealthCare AG,24.08.2024,1 aktuell keine Lieferungen,24.08.2024,01.09.2024,Alternativen?,7680659310205
PALIPERIDON Sandoz Ret Tabl 3 mg 28 Stk,1,Sandoz Pharmaceuticals AG,23.08.2024,1 aktuell keine Lieferungen,23.08.2024,Nov 24,Alternativen?,7680672000015
PANTOPRAZOL Streuli Filmtabl 40 mg 30 Stk,1,Streuli Pharma AG,27.08.2024,1 aktuell keine Lieferungen,27.08.2024,KW 36,Alternativen?,7680587170070
PEMETREXED Viatris Inf Konz 1000 mg/40ml Durchstf,1,Viatris Pharma GmbH,28.03.2024,1 aktuell keine Lieferungen,27.08.2024,KW 43,Alternativen?,7680680400067
PITAVASTATIN Mepha Filmtabl 4 mg 90 Stk,1,Mepha Pharma AG,22.08.2024,1 aktuell keine Lieferungen,26.08.2024,30.09. - 04.10.2024,Alternativen?,7680681730064
PITAVASTATIN Mepha Filmtabl 4 mg 90 Stk,1,Mepha Pharma AG,22.08.2024,1 aktuell keine Lieferungen,26.08.2024,30.09. - 04.10.2024,Alternativen?,7680681730064
POSACONAZOL Sandoz Tabl 100 mg 24 Stk,1,Sandoz Pharmaceuticals AG,23.08.2024,1 aktuell keine Lieferungen,23.08.2024,Sep 24,Alternativen?,7680672610016
PRAMIPEXOL ER Sandoz Ret Tabl 0.375 mg 10 Stk,1,Sandoz Pharmaceuticals AG,23.08.2024,1 aktuell keine Lieferungen,23.08.2024,Okt 24,Alternativen?,7680658250014
PRAMIPEXOL ER Sandoz Ret Tabl 0.375 mg 10 Stk,1,Sandoz Pharmaceuticals AG,23.08.2024,1 aktuell keine Lieferungen,23.08.2024,Okt 24,Alternativen?,7680658250014
PRAMIPEXOL Zentiva Tabl 0.125 mg 30 Stk,1,Helvepharm AG,26.08.2024,1 aktuell keine Lieferungen,26.08.2024,,Alternativen?,7680600890084
PREDNISON Streuli Tabl 20 mg 20 Stk,1,Streuli Pharma AG,27.08.2024,1 aktuell keine Lieferungen,27.08.2024,KW 41,Alternativen?,7680293490530
PREGABALIN Viatris Kaps 100 mg 84 Stk,1,Viatris Pharma GmbH,28.03.2024,1 aktuell keine Lieferungen,27.08.2024,TBC,Alternativen?,7680656780230
PROGRAF (PI) Kaps 1 mg 60 Stk,4,APS-Arzneimittel-Parallelimport-Service AG,24.08.2023,1 aktuell keine Lieferungen,24.08.2024,15.09.2024,Alternativen?,7640369610095
RABEPRAZOL Sandoz Tabl 10 mg 56 Stk,1,Sandoz Pharmaceuticals AG,23.08.2024,1 aktuell keine Lieferungen,23.08.2024,Nov 24,Alternativen?,7680614960025
RAMIPRIL-HCT Mepha Tabl 5/25 100 Stk,1,Mepha Pharma AG,16.05.2024,1 aktuell keine Lieferungen,26.08.2024,in Abklärung/en clarif.,Alternativen?,7680582510062
RAMIPRIL-HCT Mepha Tabl 5/25 20 Stk,1,Mepha Pharma AG,20.08.2024,1 aktuell keine Lieferungen,26.08.2024,in Abklärung/en clarif.,Alternativen?,7680582510055
RINOSEDIN Gtt Nas 0.1 % 10 ml,1,Streuli Pharma AG,27.08.2024,1 aktuell keine Lieferungen,27.08.2024,in Abklärung,Alternativen?,7680533490214
SCHERIPROCT Supp 12 Stk,4,Medius AG,24.08.2024,1 aktuell keine Lieferungen,24.08.2024,offen,Alternativen?,7680241380548
SEQUASE Filmtabl 200 mg 100 Stk,4,CPS Cito Pharma Services GmbH,24.08.2024,1 aktuell keine Lieferungen,24.08.2024,offen,Alternativen?,7680623310057
SITAGLIPTIN Metformin Sandoz 50/500mg 196 Stk,1,Sandoz Pharmaceuticals AG,23.08.2024,1 aktuell keine Lieferungen,23.08.2024,Dez 24,Alternativen?,7680687230025
SOLIFENACIN Mepha Filmtabl 5 mg Ds 100 Stk,1,Mepha Pharma AG,22.08.2024,1 aktuell keine Lieferungen,26.08.2024,in Abklärung/en clarif.,Alternativen?,7680663350037
TAMSULOSIN T Sandoz Ret Tabl 0.4 mg 10 Stk,1,Sandoz Pharmaceuticals AG,23.08.2024,1 aktuell keine Lieferungen,23.08.2024,Sep 24,Alternativen?,7680613650019
TENOFOVIR Viatris Filmtabl 245 mg 30 Stk,1,Viatris Pharma GmbH,28.03.2024,1 aktuell keine Lieferungen,27.08.2024,KW 49,Alternativen?,7680670140065
TIMOPTIC Gtt Opht 0.25 % Fl 5 ml,4,Santen SA,24.08.2024,1 aktuell keine Lieferungen,24.08.2024,01.09.2024,Alternativen?,7680416340018
VITAMIN B1 Streuli Tabl 300 mg 100 Stk,1,Streuli Pharma AG,27.08.2024,1 aktuell keine Lieferungen,27.08.2024,KW 38,Alternativen?,7680340780256
VITAMIN B2 Streuli Inj Lös 10 mg/2ml 10 Amp 2 ml,1,Streuli Pharma AG,27.08.2024,1 aktuell keine Lieferungen,27.08.2024,unbestimmt,Alternativen?,7680488650114
ZABAK Gtt Opht 0.25 mg/ml Fl 5 ml,4,Théa PHARMA S.A.,24.08.2024,1 aktuell keine Lieferungen,24.08.2024,offen,Alternativen?,7680622250019
ZONISAMID Sandoz Kaps 25 mg 14 Stk,1,Sandoz Pharmaceuticals AG,23.08.2024,1 aktuell keine Lieferungen,23.08.2024,Dez 24,Alternativen?,7680684050015
